city,date,temp_max,temp_min,humidity_max,humidity_min,wind_speed,precipitation,pm25,pm10,no2,so2,o3,co,AQI
New Delhi,2025-11-04,29.8,18.6,86.0,34.0,10.0,0.0,71.43329555555556,111.19635944444445,17.29173333333334,4.054902222222223,97.79890611111111,500.0,71.43329555555556
New Delhi,2025-11-05,29.5,16.9,90.0,37.0,11.3,0.0,69.84665277777776,112.01179166666668,16.799791666666668,4.383708333333334,101.87106944444443,500.0,69.84665277777776
New Delhi,2025-11-06,26.7,15.7,64.0,26.0,10.7,0.0,63.26883333333333,96.63116666666669,15.184902777777781,5.090041666666667,113.50281944444444,500.0,63.26883333333333
New Delhi,2025-11-07,27.1,14.4,65.0,25.0,9.3,0.0,60.34383333333333,96.23972222222223,11.628500000000003,5.042194444444444,117.66245833333335,500.0,60.34383333333333
Thimphu,2025-05-11,21.6,10.9,100.0,45.0,9.6,1.2,21.2425,23.692916666666665,3.1318750000000004,1.096458333333333,41.579166666666666,235.95708333333334,21.2425
Thimphu,2025-05-12,20.8,11.6,98.0,52.0,9.3,2.8,18.67697916666667,20.806145833333332,3.2648958333333336,1.3588541666666667,38.989374999999995,238.8704166666667,18.67697916666667
Thimphu,2025-05-13,22.1,11.5,99.0,48.0,10.5,0.9,19.4275,21.595208333333332,3.667013888888889,1.8100694444444443,36.941319444444446,242.5802777777778,19.4275
Thimphu,2025-05-14,22.4,11.5,100.0,50.0,7.0,11.1,18.449166666666667,20.472430555555555,3.8786111111111112,2.3681944444444447,33.77347222222222,246.86319444444447,18.449166666666667
Thimphu,2025-05-15,21.0,10.6,98.0,53.0,9.3,3.5,17.0575,18.967847222222222,4.1066666666666665,2.669166666666667,30.439444444444444,248.02923611111112,17.0575
Thimphu,2025-05-16,20.8,11.1,98.0,53.0,9.8,5.1,14.374786111111112,15.998536111111113,3.8578500000000004,2.3388,28.817108333333334,244.8025027777778,14.374786111111112
Thimphu,2025-05-17,19.7,10.2,98.0,49.0,11.1,2.1,11.1918,12.493119444444446,3.8241694444444447,2.2469944444444447,24.876900000000003,235.2870861111111,11.1918
Thimphu,2025-05-18,20.8,11.1,91.0,51.0,8.2,3.3,10.442494444444444,11.566730555555557,3.441252777777778,1.875813888888889,24.45203888888889,222.66979444444442,10.442494444444444
Thimphu,2025-05-19,17.2,12.1,99.0,72.0,4.0,7.2,9.316388888888888,10.532986111111112,3.584722222222222,1.659861111111111,21.189791666666668,219.89847222222224,9.316388888888888
Thimphu,2025-05-20,22.1,11.6,99.0,50.0,9.4,3.8,10.933819444444444,12.271319444444444,3.6513194444444443,1.2264583333333332,22.443541666666665,223.46319444444444,10.933819444444444
Thimphu,2025-05-21,21.3,11.9,98.0,52.0,10.3,4.2,13.697772222222222,15.235100000000001,4.065275,1.1771166666666666,23.424569444444444,237.59479444444446,13.697772222222222
Thimphu,2025-05-22,22.3,12.4,97.0,46.0,9.5,4.3,17.211244444444446,19.54635,4.750622222222222,1.1618388888888889,24.745958333333334,243.59285,17.211244444444446
Thimphu,2025-05-23,22.3,12.2,97.0,44.0,8.6,1.1,20.928327777777778,24.109197222222225,6.054719444444444,1.1407972222222222,21.066583333333334,249.9416,20.928327777777778
Thimphu,2025-05-24,19.3,12.8,96.0,61.0,4.8,3.7,23.154861111111114,26.983541666666667,6.782430555555556,1.070486111111111,19.025833333333335,250.0,23.154861111111114
Thimphu,2025-05-25,21.6,14.2,95.0,50.0,8.7,4.5,20.80506944444444,24.065694444444446,6.305694444444445,0.9653472222222222,17.98409722222222,250.0,20.80506944444444
Thimphu,2025-05-26,19.3,12.5,100.0,62.0,4.6,8.0,15.512441666666666,17.852002777777777,4.695058333333334,0.8197861111111111,21.56658888888889,232.98260000000002,15.512441666666666
Thimphu,2025-05-27,25.2,13.0,100.0,42.0,8.6,11.4,11.070705555555554,12.765613888888888,3.4244333333333334,0.7362444444444445,24.667422222222225,209.75544722222222,11.070705555555554
Thimphu,2025-05-28,26.0,13.9,97.0,42.0,10.5,12.4,10.361677777777777,11.832141666666667,2.832141666666667,0.7527722222222222,27.507561111111112,199.19704444444446,10.361677777777777
Thimphu,2025-05-29,19.7,14.5,96.0,76.0,4.9,10.5,9.358680555555553,10.631666666666666,2.4610416666666666,0.6824305555555555,26.936944444444446,190.609375,9.358680555555553
Thimphu,2025-05-30,17.8,15.3,100.0,88.0,4.6,19.6,9.070416666666667,10.455277777777779,3.1398611111111108,0.7028472222222222,21.70583333333333,213.61368055555553,9.070416666666667
